name,category,filename,description,prompt_midjourney,prompt_dalle
Up a Tree,forest,up-a-tree.jpg,A mysterious location known as Up a Tree,"A mysterious location known as Up a Tree, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Up a Tree, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Clearing,forest,clearing.jpg,A mysterious location known as Clearing,"A mysterious location known as Clearing, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Clearing, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Clearing,forest,clearing.jpg,You are in a small clearing in a well marked forest path that extends to the east and west.,"You are in a small clearing in a well marked forest path that extends to the east and west., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You are in a small clearing in a well marked forest path that extends to the east and west., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Kitchen,house,kitchen.jpg,A mysterious location known as Kitchen,"A mysterious location known as Kitchen, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Kitchen, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Attic,house,attic.jpg,This is the attic. The only exit is a stairway leading down.,"This is the attic. The only exit is a stairway leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is the attic. The only exit is a stairway leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Living Room,house,living-room.jpg,A mysterious location known as Living Room,"A mysterious location known as Living Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Living Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Cellar,other,cellar.jpg,A mysterious location known as Cellar,"A mysterious location known as Cellar, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Cellar, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
The Troll Room,other,the-troll-room.jpg,This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls.,"This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
East of Chasm,other,east-of-chasm.jpg,"You are on the east edge of a chasm, the bottom of which cannot be seen. A narrow passage goes north, and the path you are on continues to the east.","You are on the east edge of a chasm, the bottom of which cannot be seen. A narrow passage goes north, and the path you are on continues to the east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You are on the east edge of a chasm, the bottom of which cannot be seen. A narrow passage goes north, and the path you are on continues to the east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Gallery,other,gallery.jpg,This is an art gallery. Most of the paintings have been stolen by vandals with exceptional taste. The vandals left through either the north or west exits.,"This is an art gallery. Most of the paintings have been stolen by vandals with exceptional taste. The vandals left through either the north or west exits., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is an art gallery. Most of the paintings have been stolen by vandals with exceptional taste. The vandals left through either the north or west exits., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Studio,other,studio.jpg,"This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace; although you might be able to get up it, it seems unlikely you could get back down.","This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace; although you might be able to get up it, it seems unlikely you could get back down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace; although you might be able to get up it, it seems unlikely you could get back down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dead End,other,dead-end.jpg,You have come to a dead end in the maze.,"You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike. A skeleton, probably the remains of a luckless adventurer, lies here.","This is part of a maze of twisty little passages, all alike. A skeleton, probably the remains of a luckless adventurer, lies here., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike. A skeleton, probably the remains of a luckless adventurer, lies here., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dead End,other,dead-end.jpg,You have come to a dead end in the maze.,"You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dead End,other,dead-end.jpg,You have come to a dead end in the maze.,"You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Grating Room,other,grating-room.jpg,A mysterious location known as Grating Room,"A mysterious location known as Grating Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Grating Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dead End,other,dead-end.jpg,You have come to a dead end in the maze.,"You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have come to a dead end in the maze., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
